Quadrat,C,S,R
ORIGINAL Kberg,0.356,0.333,0.311
N1,0.133,0.766,0.101
N2,0.083,0.859,0.058
N3,0.083,0.859,0.058
N4,0.122,0.689,0.189
N5,0.04,0.762,0.198
N6,0.02,0.781,0.199
N7,0.218,0.626,0.155
N8,0.059,0.934,0.007
N9,0.318,0.648,0.034
S1,0.047,0.707,0.246
S2,0,0.695,0.305
S3,0,0.655,0.345
S4,0,0.819,0.181
S5,0,0.763,0.238
S6,0,0.733,0.267
S7,0,0.769,0.231
S8,0,0.719,0.281
S9,0,0.723,0.277
ORIGINAL Rathaus,0.305,0.462,0.233
R-PV1,0.195,0.612,0.193
R-PV2,0.265,0.699,0.036
R-PV3,0.026,0.659,0.315
R-PV4,0.138,0.595,0.267
R-PV5,0.173,0.677,0.15
R-PV6,0.154,0.479,0.366
R-PV7,0.087,0.713,0.2
R-PV8,0.015,0.706,0.278
R-PV9,0.106,0.569,0.325
R-PV10,0.111,0.48,0.408
R-PV11,0.137,0.469,0.394
R-PV12,0.102,0.476,0.422
R-PV13,0.147,0.648,0.205
R-PV14,0.095,0.485,0.42
R-PV15,0.113,0.759,0.128
R-lower1,0.151,0.589,0.26
R-lower2,0.142,0.493,0.365
R-lower3,0.164,0.523,0.312
R-lower4,0.156,0.641,0.204
R-lower5,0.169,0.471,0.36
R-lower6,0.184,0.534,0.282
R-lower7,0.164,0.34,0.496
R-lower8,0.125,0.617,0.259
R-lower9,0.142,0.606,0.252
R-lower10,0.144,0.412,0.443
R-lower11,0.126,0.558,0.317
R-lower12,0.117,0.586,0.297
R-lower13,0.152,0.499,0.35
R-lower14,0.17,0.597,0.233
